concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
2000000002	2000000002	Mapped from	1970-01-01	2099-12-31	
2000000002	2000000002	Maps to	1970-01-01	2099-12-31	
2000000003	2000000003	Mapped from	1970-01-01	2099-12-31	
2000000003	2000000003	Maps to	1970-01-01	2099-12-31	
2000000004	2000000004	Mapped from	1970-01-01	2099-12-31	
2000000004	2000000004	Maps to	1970-01-01	2099-12-31	
2000000005	2000000005	Mapped from	1970-01-01	2099-12-31	
2000000005	2000000005	Maps to	1970-01-01	2099-12-31	
2000000006	2000000006	Mapped from	1970-01-01	2099-12-31	
2000000006	2000000006	Maps to	1970-01-01	2099-12-31	
2000000007	2000000007	Mapped from	1970-01-01	2099-12-31	
2000000007	2000000007	Maps to	1970-01-01	2099-12-31	
2000000008	2000000008	Mapped from	1970-01-01	2099-12-31	
2000000008	2000000008	Maps to	1970-01-01	2099-12-31	
2000000009	2000000009	Mapped from	1970-01-01	2099-12-31	
2000000009	2000000009	Maps to	1970-01-01	2099-12-31	
2000000010	2000000010	Mapped from	1970-01-01	2099-12-31	
2000000010	2000000010	Maps to	1970-01-01	2099-12-31	
2000000011	2000000011	Mapped from	1970-01-01	2099-12-31	
2000000011	2000000011	Maps to	1970-01-01	2099-12-31	
2000000012	2000000012	Mapped from	1970-01-01	2099-12-31	
2000000012	2000000012	Maps to	1970-01-01	2099-12-31	
2000000013	2000000013	Mapped from	1970-01-01	2099-12-31	
2000000013	2000000013	Maps to	1970-01-01	2099-12-31	
2000000014	2000000014	Mapped from	1970-01-01	2099-12-31	
2000000014	2000000014	Maps to	1970-01-01	2099-12-31	
2000000015	2000000015	Mapped from	1970-01-01	2099-12-31	
2000000015	2000000015	Maps to	1970-01-01	2099-12-31	
2000000016	2000000016	Mapped from	1970-01-01	2099-12-31	
2000000016	2000000016	Maps to	1970-01-01	2099-12-31	
2000000017	2000000017	Mapped from	1970-01-01	2099-12-31	
2000000017	2000000017	Maps to	1970-01-01	2099-12-31	
2000000018	2000000018	Mapped from	1970-01-01	2099-12-31	
2000000018	2000000018	Maps to	1970-01-01	2099-12-31	
2000000019	2000000019	Mapped from	1970-01-01	2099-12-31	
2000000019	2000000019	Maps to	1970-01-01	2099-12-31	
2000000020	2000000020	Mapped from	1970-01-01	2099-12-31	
2000000020	2000000020	Maps to	1970-01-01	2099-12-31	
2000000021	2000000021	Mapped from	1970-01-01	2099-12-31	
2000000021	2000000021	Maps to	1970-01-01	2099-12-31	
2000000022	2000000022	Mapped from	1970-01-01	2099-12-31	
2000000022	2000000022	Maps to	1970-01-01	2099-12-31	
2000000023	2000000023	Mapped from	1970-01-01	2099-12-31	
2000000023	2000000023	Maps to	1970-01-01	2099-12-31	
2000000024	2000000024	Mapped from	1970-01-01	2099-12-31	
2000000024	2000000024	Maps to	1970-01-01	2099-12-31	
2000000025	2000000025	Mapped from	1970-01-01	2099-12-31	
2000000025	2000000025	Maps to	1970-01-01	2099-12-31	
2000000026	2000000026	Mapped from	1970-01-01	2099-12-31	
2000000026	2000000026	Maps to	1970-01-01	2099-12-31	
2000000027	2000000027	Mapped from	1970-01-01	2099-12-31	
2000000027	2000000027	Maps to	1970-01-01	2099-12-31	
2000000028	2000000028	Mapped from	1970-01-01	2099-12-31	
2000000028	2000000028	Maps to	1970-01-01	2099-12-31	
2000000029	2000000029	Mapped from	1970-01-01	2099-12-31	
2000000029	2000000029	Maps to	1970-01-01	2099-12-31	
2000000030	2000000030	Mapped from	1970-01-01	2099-12-31	
2000000030	2000000030	Maps to	1970-01-01	2099-12-31	
2000000031	2000000031	Mapped from	1970-01-01	2099-12-31	
2000000031	2000000031	Maps to	1970-01-01	2099-12-31	
2000000032	2000000032	Mapped from	1970-01-01	2099-12-31	
2000000032	2000000032	Maps to	1970-01-01	2099-12-31	
2000000033	2000000033	Mapped from	1970-01-01	2099-12-31	
2000000033	2000000033	Maps to	1970-01-01	2099-12-31	
2000000034	2000000034	Mapped from	1970-01-01	2099-12-31	
2000000034	2000000034	Maps to	1970-01-01	2099-12-31	
2000000035	2000000035	Mapped from	1970-01-01	2099-12-31	
2000000035	2000000035	Maps to	1970-01-01	2099-12-31	
2000000036	2000000036	Mapped from	1970-01-01	2099-12-31	
2000000036	2000000036	Maps to	1970-01-01	2099-12-31	
2000000037	2000000037	Mapped from	1970-01-01	2099-12-31	
2000000037	2000000037	Maps to	1970-01-01	2099-12-31	
2000000038	2000000038	Mapped from	1970-01-01	2099-12-31	
2000000038	2000000038	Maps to	1970-01-01	2099-12-31	
2000000039	2000000039	Mapped from	1970-01-01	2099-12-31	
2000000039	2000000039	Maps to	1970-01-01	2099-12-31	
2000000040	2000000040	Mapped from	1970-01-01	2099-12-31	
2000000040	2000000040	Maps to	1970-01-01	2099-12-31	
2000000041	2000000041	Mapped from	1970-01-01	2099-12-31	
2000000041	2000000041	Maps to	1970-01-01	2099-12-31	
2000000042	2000000042	Mapped from	1970-01-01	2099-12-31	
2000000042	2000000042	Maps to	1970-01-01	2099-12-31	
2000000043	2000000043	Mapped from	1970-01-01	2099-12-31	
2000000043	2000000043	Maps to	1970-01-01	2099-12-31	
2000000044	2000000044	Mapped from	1970-01-01	2099-12-31	
2000000044	2000000044	Maps to	1970-01-01	2099-12-31	
2000000045	2000000045	Mapped from	1970-01-01	2099-12-31	
2000000045	2000000045	Maps to	1970-01-01	2099-12-31	
2000000046	2000000046	Mapped from	1970-01-01	2099-12-31	
2000000046	2000000046	Maps to	1970-01-01	2099-12-31	
2000000047	2000000047	Mapped from	1970-01-01	2099-12-31	
2000000047	2000000047	Maps to	1970-01-01	2099-12-31	
2000000048	2000000048	Mapped from	1970-01-01	2099-12-31	
2000000048	2000000048	Maps to	1970-01-01	2099-12-31	
2000000049	2000000049	Mapped from	1970-01-01	2099-12-31	
2000000049	2000000049	Maps to	1970-01-01	2099-12-31	
2000000050	2000000050	Mapped from	1970-01-01	2099-12-31	
2000000050	2000000050	Maps to	1970-01-01	2099-12-31	
2000000051	2000000051	Mapped from	1970-01-01	2099-12-31	
2000000051	2000000051	Maps to	1970-01-01	2099-12-31	
2000000052	2000000052	Mapped from	1970-01-01	2099-12-31	
2000000052	2000000052	Maps to	1970-01-01	2099-12-31	
2000000053	2000000053	Mapped from	1970-01-01	2099-12-31	
2000000053	2000000053	Maps to	1970-01-01	2099-12-31	
2000000054	2000000054	Mapped from	1970-01-01	2099-12-31	
2000000054	2000000054	Maps to	1970-01-01	2099-12-31	
2000000055	2000000055	Mapped from	1970-01-01	2099-12-31	
2000000055	2000000055	Maps to	1970-01-01	2099-12-31	
2000000056	2000000056	Mapped from	1970-01-01	2099-12-31	
2000000056	2000000056	Maps to	1970-01-01	2099-12-31	
2000000057	2000000057	Mapped from	1970-01-01	2099-12-31	
2000000057	2000000057	Maps to	1970-01-01	2099-12-31	
2000000058	2000000058	Mapped from	1970-01-01	2099-12-31	
2000000058	2000000058	Maps to	1970-01-01	2099-12-31	
2000000059	2000000059	Mapped from	1970-01-01	2099-12-31	
2000000059	2000000059	Maps to	1970-01-01	2099-12-31	
2000000060	2000000060	Mapped from	1970-01-01	2099-12-31	
2000000060	2000000060	Maps to	1970-01-01	2099-12-31	
2000000061	2000000061	Mapped from	1970-01-01	2099-12-31	
2000000061	2000000061	Maps to	1970-01-01	2099-12-31	
2000000062	2000000062	Mapped from	1970-01-01	2099-12-31	
2000000062	2000000062	Maps to	1970-01-01	2099-12-31	
2000000063	2000000063	Mapped from	1970-01-01	2099-12-31	
2000000063	2000000063	Maps to	1970-01-01	2099-12-31	
2000000064	2000000064	Mapped from	1970-01-01	2099-12-31	
2000000064	2000000064	Maps to	1970-01-01	2099-12-31	
2000000065	2000000065	Mapped from	1970-01-01	2099-12-31	
2000000065	2000000065	Maps to	1970-01-01	2099-12-31	
2000000066	2000000066	Mapped from	1970-01-01	2099-12-31	
2000000066	2000000066	Maps to	1970-01-01	2099-12-31	
2000000067	2000000067	Mapped from	1970-01-01	2099-12-31	
2000000067	2000000067	Maps to	1970-01-01	2099-12-31	
2000000068	2000000068	Mapped from	1970-01-01	2099-12-31	
2000000068	2000000068	Maps to	1970-01-01	2099-12-31	
2000000069	2000000069	Mapped from	1970-01-01	2099-12-31	
2000000069	2000000069	Maps to	1970-01-01	2099-12-31	
2000000070	2000000070	Mapped from	1970-01-01	2099-12-31	
2000000070	2000000070	Maps to	1970-01-01	2099-12-31	
2000000071	2000000071	Mapped from	1970-01-01	2099-12-31	
2000000071	2000000071	Maps to	1970-01-01	2099-12-31	
2000000072	2000000072	Mapped from	1970-01-01	2099-12-31	
2000000072	2000000072	Maps to	1970-01-01	2099-12-31	
2000000073	2000000073	Mapped from	1970-01-01	2099-12-31	
2000000073	2000000073	Maps to	1970-01-01	2099-12-31	
2000000074	2000000074	Mapped from	1970-01-01	2099-12-31	
2000000074	2000000074	Maps to	1970-01-01	2099-12-31	
2000000075	2000000075	Mapped from	1970-01-01	2099-12-31	
2000000075	2000000075	Maps to	1970-01-01	2099-12-31	
2000000076	2000000076	Mapped from	1970-01-01	2099-12-31	
2000000076	2000000076	Maps to	1970-01-01	2099-12-31	
2000000077	2000000077	Mapped from	1970-01-01	2099-12-31	
2000000077	2000000077	Maps to	1970-01-01	2099-12-31	
2000000078	2000000078	Mapped from	1970-01-01	2099-12-31	
2000000078	2000000078	Maps to	1970-01-01	2099-12-31	
2000000079	2000000079	Mapped from	1970-01-01	2099-12-31	
2000000079	2000000079	Maps to	1970-01-01	2099-12-31	
2000000080	2000000080	Mapped from	1970-01-01	2099-12-31	
2000000080	2000000080	Maps to	1970-01-01	2099-12-31	
2000000081	2000000081	Mapped from	1970-01-01	2099-12-31	
2000000081	2000000081	Maps to	1970-01-01	2099-12-31	
2000000082	2000000082	Mapped from	1970-01-01	2099-12-31	
2000000082	2000000082	Maps to	1970-01-01	2099-12-31	
2000000083	2000000083	Mapped from	1970-01-01	2099-12-31	
2000000083	2000000083	Maps to	1970-01-01	2099-12-31	
2000000084	2000000084	Mapped from	1970-01-01	2099-12-31	
2000000084	2000000084	Maps to	1970-01-01	2099-12-31	
2000000085	2000000085	Mapped from	1970-01-01	2099-12-31	
2000000085	2000000085	Maps to	1970-01-01	2099-12-31	
2000000086	2000000086	Mapped from	1970-01-01	2099-12-31	
2000000086	2000000086	Maps to	1970-01-01	2099-12-31	
2000000087	2000000087	Mapped from	1970-01-01	2099-12-31	
2000000087	2000000087	Maps to	1970-01-01	2099-12-31	
2000000088	2000000088	Mapped from	1970-01-01	2099-12-31	
2000000088	2000000088	Maps to	1970-01-01	2099-12-31	
2000000089	2000000089	Mapped from	1970-01-01	2099-12-31	
2000000089	2000000089	Maps to	1970-01-01	2099-12-31	
2000000090	2000000090	Mapped from	1970-01-01	2099-12-31	
2000000090	2000000090	Maps to	1970-01-01	2099-12-31	
2000000091	2000000091	Mapped from	1970-01-01	2099-12-31	
2000000091	2000000091	Maps to	1970-01-01	2099-12-31	
2000000092	2000000092	Mapped from	1970-01-01	2099-12-31	
2000000092	2000000092	Maps to	1970-01-01	2099-12-31	
2000000093	2000000093	Mapped from	1970-01-01	2099-12-31	
2000000093	2000000093	Maps to	1970-01-01	2099-12-31	
2000000094	2000000094	Mapped from	1970-01-01	2099-12-31	
2000000094	2000000094	Maps to	1970-01-01	2099-12-31	
2000000095	2000000095	Mapped from	1970-01-01	2099-12-31	
2000000095	2000000095	Maps to	1970-01-01	2099-12-31	
2000000096	2000000096	Mapped from	1970-01-01	2099-12-31	
2000000096	2000000096	Maps to	1970-01-01	2099-12-31	
2000000097	2000000097	Mapped from	1970-01-01	2099-12-31	
2000000097	2000000097	Maps to	1970-01-01	2099-12-31	
2000000098	2000000098	Mapped from	1970-01-01	2099-12-31	
2000000098	2000000098	Maps to	1970-01-01	2099-12-31	
2000000099	2000000099	Mapped from	1970-01-01	2099-12-31	
2000000099	2000000099	Maps to	1970-01-01	2099-12-31	
2000000100	2000000100	Mapped from	1970-01-01	2099-12-31	
2000000100	2000000100	Maps to	1970-01-01	2099-12-31	
2000000101	2000000101	Mapped from	1970-01-01	2099-12-31	
2000000101	2000000101	Maps to	1970-01-01	2099-12-31	
2000000102	2000000102	Mapped from	1970-01-01	2099-12-31	
2000000102	2000000102	Maps to	1970-01-01	2099-12-31	
2000000103	2000000103	Mapped from	1970-01-01	2099-12-31	
2000000103	2000000103	Maps to	1970-01-01	2099-12-31	
2000000104	2000000104	Mapped from	1970-01-01	2099-12-31	
2000000104	2000000104	Maps to	1970-01-01	2099-12-31	
2000000105	2000000105	Mapped from	1970-01-01	2099-12-31	
2000000105	2000000105	Maps to	1970-01-01	2099-12-31	
2000000106	2000000106	Mapped from	1970-01-01	2099-12-31	
2000000106	2000000106	Maps to	1970-01-01	2099-12-31	
2000000107	2000000107	Mapped from	1970-01-01	2099-12-31	
2000000107	2000000107	Maps to	1970-01-01	2099-12-31	
2000000108	2000000108	Mapped from	1970-01-01	2099-12-31	
2000000108	2000000108	Maps to	1970-01-01	2099-12-31	
2000000109	2000000109	Mapped from	1970-01-01	2099-12-31	
2000000109	2000000109	Maps to	1970-01-01	2099-12-31	
2000000110	2000000110	Mapped from	1970-01-01	2099-12-31	
2000000110	2000000110	Maps to	1970-01-01	2099-12-31	
2000000111	2000000111	Mapped from	1970-01-01	2099-12-31	
2000000111	2000000111	Maps to	1970-01-01	2099-12-31	
2000000112	2000000112	Mapped from	1970-01-01	2099-12-31	
2000000112	2000000112	Maps to	1970-01-01	2099-12-31	
2000000113	2000000113	Mapped from	1970-01-01	2099-12-31	
2000000113	2000000113	Maps to	1970-01-01	2099-12-31	
2000000114	2000000114	Mapped from	1970-01-01	2099-12-31	
2000000114	2000000114	Maps to	1970-01-01	2099-12-31	
2000000115	2000000115	Mapped from	1970-01-01	2099-12-31	
2000000115	2000000115	Maps to	1970-01-01	2099-12-31	
2000000116	2000000116	Mapped from	1970-01-01	2099-12-31	
2000000116	2000000116	Maps to	1970-01-01	2099-12-31	
2000000117	2000000117	Mapped from	1970-01-01	2099-12-31	
2000000117	2000000117	Maps to	1970-01-01	2099-12-31	
2000000118	2000000118	Mapped from	1970-01-01	2099-12-31	
2000000118	2000000118	Maps to	1970-01-01	2099-12-31	
2000000119	2000000119	Mapped from	1970-01-01	2099-12-31	
2000000119	2000000119	Maps to	1970-01-01	2099-12-31	
2000000120	2000000120	Mapped from	1970-01-01	2099-12-31	
2000000120	2000000120	Maps to	1970-01-01	2099-12-31	
2000000121	2000000121	Mapped from	1970-01-01	2099-12-31	
2000000121	2000000121	Maps to	1970-01-01	2099-12-31	
2000000122	2000000122	Mapped from	1970-01-01	2099-12-31	
2000000122	2000000122	Maps to	1970-01-01	2099-12-31	
2000000123	2000000123	Mapped from	1970-01-01	2099-12-31	
2000000123	2000000123	Maps to	1970-01-01	2099-12-31	
2000000124	2000000124	Mapped from	1970-01-01	2099-12-31	
2000000124	2000000124	Maps to	1970-01-01	2099-12-31	
2000000125	2000000125	Mapped from	1970-01-01	2099-12-31	
2000000125	2000000125	Maps to	1970-01-01	2099-12-31	
2000000126	2000000126	Mapped from	1970-01-01	2099-12-31	
2000000126	2000000126	Maps to	1970-01-01	2099-12-31	
2000000127	2000000127	Mapped from	1970-01-01	2099-12-31	
2000000127	2000000127	Maps to	1970-01-01	2099-12-31	
2000000128	2000000128	Mapped from	1970-01-01	2099-12-31	
2000000128	2000000128	Maps to	1970-01-01	2099-12-31	
2000000129	2000000129	Mapped from	1970-01-01	2099-12-31	
2000000129	2000000129	Maps to	1970-01-01	2099-12-31	
2000000130	2000000130	Mapped from	1970-01-01	2099-12-31	
2000000130	2000000130	Maps to	1970-01-01	2099-12-31	
2000000131	2000000131	Mapped from	1970-01-01	2099-12-31	
2000000131	2000000131	Maps to	1970-01-01	2099-12-31	
2000000132	2000000132	Mapped from	1970-01-01	2099-12-31	
2000000132	2000000132	Maps to	1970-01-01	2099-12-31	
2000000133	2000000133	Mapped from	1970-01-01	2099-12-31	
2000000133	2000000133	Maps to	1970-01-01	2099-12-31	
2000000134	2000000134	Mapped from	1970-01-01	2099-12-31	
2000000134	2000000134	Maps to	1970-01-01	2099-12-31	
2000000135	2000000135	Mapped from	1970-01-01	2099-12-31	
2000000135	2000000135	Maps to	1970-01-01	2099-12-31	
2000000136	2000000136	Mapped from	1970-01-01	2099-12-31	
2000000136	2000000136	Maps to	1970-01-01	2099-12-31	
2000000137	2000000137	Mapped from	1970-01-01	2099-12-31	
2000000137	2000000137	Maps to	1970-01-01	2099-12-31	
2000000138	2000000138	Mapped from	1970-01-01	2099-12-31	
2000000138	2000000138	Maps to	1970-01-01	2099-12-31	
2000000139	2000000139	Mapped from	1970-01-01	2099-12-31	
2000000139	2000000139	Maps to	1970-01-01	2099-12-31	
2000000140	2000000140	Mapped from	1970-01-01	2099-12-31	
2000000140	2000000140	Maps to	1970-01-01	2099-12-31	
2000000141	2000000141	Mapped from	1970-01-01	2099-12-31	
2000000141	2000000141	Maps to	1970-01-01	2099-12-31	
2000000142	2000000142	Mapped from	1970-01-01	2099-12-31	
2000000142	2000000142	Maps to	1970-01-01	2099-12-31	
2000000143	2000000143	Mapped from	1970-01-01	2099-12-31	
2000000143	2000000143	Maps to	1970-01-01	2099-12-31	
2000000144	2000000144	Mapped from	1970-01-01	2099-12-31	
2000000144	2000000144	Maps to	1970-01-01	2099-12-31	
2000000145	2000000145	Mapped from	1970-01-01	2099-12-31	
2000000145	2000000145	Maps to	1970-01-01	2099-12-31	
2000000146	2000000146	Mapped from	1970-01-01	2099-12-31	
2000000146	2000000146	Maps to	1970-01-01	2099-12-31	
2000000147	2000000147	Mapped from	1970-01-01	2099-12-31	
2000000147	2000000147	Maps to	1970-01-01	2099-12-31	
2000000148	2000000148	Mapped from	1970-01-01	2099-12-31	
2000000148	2000000148	Maps to	1970-01-01	2099-12-31	
2000000149	2000000149	Mapped from	1970-01-01	2099-12-31	
2000000149	2000000149	Maps to	1970-01-01	2099-12-31	
2000000150	2000000150	Mapped from	1970-01-01	2099-12-31	
2000000150	2000000150	Maps to	1970-01-01	2099-12-31	
2000000151	2000000151	Mapped from	1970-01-01	2099-12-31	
2000000151	2000000151	Maps to	1970-01-01	2099-12-31	
2000000152	2000000152	Mapped from	1970-01-01	2099-12-31	
2000000152	2000000152	Maps to	1970-01-01	2099-12-31	
2000000153	2000000153	Mapped from	1970-01-01	2099-12-31	
2000000153	2000000153	Maps to	1970-01-01	2099-12-31	
2000000154	2000000154	Mapped from	1970-01-01	2099-12-31	
2000000154	2000000154	Maps to	1970-01-01	2099-12-31	
2000000155	2000000155	Mapped from	1970-01-01	2099-12-31	
2000000155	2000000155	Maps to	1970-01-01	2099-12-31	
2000000156	2000000156	Mapped from	1970-01-01	2099-12-31	
2000000156	2000000156	Maps to	1970-01-01	2099-12-31	
2000000157	2000000157	Mapped from	1970-01-01	2099-12-31	
2000000157	2000000157	Maps to	1970-01-01	2099-12-31	
2000000158	2000000158	Mapped from	1970-01-01	2099-12-31	
2000000158	2000000158	Maps to	1970-01-01	2099-12-31	
2000000159	2000000159	Mapped from	1970-01-01	2099-12-31	
2000000159	2000000159	Maps to	1970-01-01	2099-12-31	
2000000160	2000000160	Mapped from	1970-01-01	2099-12-31	
2000000160	2000000160	Maps to	1970-01-01	2099-12-31	
2000000161	2000000161	Mapped from	1970-01-01	2099-12-31	
2000000161	2000000161	Maps to	1970-01-01	2099-12-31	
2000000162	2000000162	Mapped from	1970-01-01	2099-12-31	
2000000162	2000000162	Maps to	1970-01-01	2099-12-31	
2000000163	2000000163	Mapped from	1970-01-01	2099-12-31	
2000000163	2000000163	Maps to	1970-01-01	2099-12-31	
2000000164	2000000164	Mapped from	1970-01-01	2099-12-31	
2000000164	2000000164	Maps to	1970-01-01	2099-12-31	
2000000165	2000000165	Mapped from	1970-01-01	2099-12-31	
2000000165	2000000165	Maps to	1970-01-01	2099-12-31	
2000000166	2000000166	Mapped from	1970-01-01	2099-12-31	
2000000166	2000000166	Maps to	1970-01-01	2099-12-31	
2000000167	2000000167	Mapped from	1970-01-01	2099-12-31	
2000000167	2000000167	Maps to	1970-01-01	2099-12-31	
2000000168	2000000168	Mapped from	1970-01-01	2099-12-31	
2000000168	2000000168	Maps to	1970-01-01	2099-12-31	
2000000169	2000000169	Mapped from	1970-01-01	2099-12-31	
2000000169	2000000169	Maps to	1970-01-01	2099-12-31	
2000000170	2000000170	Mapped from	1970-01-01	2099-12-31	
2000000170	2000000170	Maps to	1970-01-01	2099-12-31	
2000000171	2000000171	Mapped from	1970-01-01	2099-12-31	
2000000171	2000000171	Maps to	1970-01-01	2099-12-31	
2000000172	2000000172	Mapped from	1970-01-01	2099-12-31	
2000000172	2000000172	Maps to	1970-01-01	2099-12-31	
2000000173	2000000173	Mapped from	1970-01-01	2099-12-31	
